,team1,team2,pre1,pre2,prob1,prob2,score1,score2
20,22,25,2158.8340958148838,2144.770447636794,0.7182986648171688,0.7014146969081394,4.0,0.0
21,5,11,2148.199970346813,2086.3046498055037,0.9136998268824275,0.5028681584945253,0.0,2.0
22,14,15,2263.656355266145,2129.0009397220256,0.9804280571488895,0.4349956075873483,3.0,0.0
23,22,25,2155.6465061758904,2147.960551412422,0.7669804318194726,0.6472452461601943,11.0,9.0
24,19,6,2175.7139179443757,2137.7149193072323,0.8316154825769069,0.585092735772224,6.0,4.0
25,2,7,2177.2732810230877,2133.324681337075,0.8448635868452072,0.57135236668084,5.0,0.0
26,14,15,2262.0260133617603,2130.6315291236156,1.0128624318536854,0.4015959329473541,4.0,2.0
27,8,18,2155.9109236049494,2204.331220787428,0.6697595890741312,0.7444630410715546,9.0,10.0
28,22,25,2160.4512753629556,2143.1516992972292,0.7715603563544893,0.6429291166623493,4.0,7.0
29,26,28,2207.8238544063606,2113.6446054526846,0.8897957301895854,0.5278697055298142,8.0,2.0
30,19,6,2173.0204515602304,2140.407488358961,0.8200756254756649,0.59678293487668,5.0,3.0
31,5,11,2154.812785393217,2079.689059188341,0.9034075973582634,0.5108160753503236,1.0,5.0
32,16,12,2179.5509551763334,2185.594498479139,0.735930508273864,0.6790107133355764,1.0,3.0
33,2,7,2175.319971563616,2135.2773208649096,0.8332848175257721,0.5834199716117519,1.0,0.0
34,8,18,2163.2342706463073,2197.006274586778,0.6714313859482436,0.7445957100810593,3.0,12.0
35,26,28,2205.6670961568743,2115.80184967814,0.9154566217412731,0.4990066792880675,3.0,1.0
36,19,6,2177.901880903935,2135.5370046461962,0.7933458506360971,0.6343137562270077,1.0,4.0
37,16,12,2183.9808267844182,2181.1644603911673,0.77197829689353,0.6422822507071579,1.0,4.0
38,25,15,2140.599375806931,2133.183044196224,0.7475126684269198,0.6680392612274623,5.0,2.0
39,26,20,2202.6448717922635,2120.8849731325085,0.8016370314950534,0.6210419088685705,5.0,0.0
40,19,23,2175.5028992154785,2077.344727050866,0.8471019873294205,0.5692098950062393,6.0,2.0
41,16,7,2186.5150214907253,2132.744431178888,0.8071963420803071,0.608652137030476,3.0,5.0
42,14,0,2259.9038712353486,2104.084454715615,0.9468136236298765,0.46834799574306146,5.0,0.0
43,8,21,2161.618814730499,2049.571892566742,0.8481643624282776,0.5709356367642764,8.0,6.0
44,6,5,2137.8427775364275,2152.506335249785,0.7314759019099031,0.682747088139715,8.0,10.0
45,2,4,2181.338604971747,2107.9888548480803,0.8386673417128507,0.5761066760573711,1.0,9.0
46,1,9,2114.5740639804817,2082.1527500336656,0.7743228380031946,0.6413406143517058,11.0,3.0
47,28,3,2118.424912248879,2049.642539014106,0.8073352849897824,0.607985371477006,5.0,7.0
48,29,17,2156.480325948289,2138.9339844977653,0.7571699193971445,0.6586619116967939,15.0,5.0
49,27,12,2060.606049146781,2184.9198003519186,0.5841343176025074,0.8301061797888966,8.0,4.0
50,24,22,2104.8968647457855,2158.7171862174805,0.6898877076766828,0.7250563580988181,4.0,5.0
